id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,indeks_pembangunan_literasi_masyarakat,satuan,tahun
1,32,JAWA BARAT,3201,KABUPATEN BOGOR,65.7,POIN,2022
2,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,50.29,POIN,2022
3,32,JAWA BARAT,3203,KABUPATEN CIANJUR,52.04,POIN,2022
4,32,JAWA BARAT,3204,KABUPATEN BANDUNG,82.09,POIN,2022
5,32,JAWA BARAT,3205,KABUPATEN GARUT,51.1,POIN,2022
6,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,54.72,POIN,2022
7,32,JAWA BARAT,3207,KABUPATEN CIAMIS,64.76,POIN,2022
8,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,51.36,POIN,2022
9,32,JAWA BARAT,3209,KABUPATEN CIREBON,71.55,POIN,2022
10,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,82.99,POIN,2022
11,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,48.73,POIN,2022
12,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,56.96,POIN,2022
13,32,JAWA BARAT,3213,KABUPATEN SUBANG,46.33,POIN,2022
14,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,73.54,POIN,2022
15,32,JAWA BARAT,3215,KABUPATEN KARAWANG,75.8,POIN,2022
16,32,JAWA BARAT,3216,KABUPATEN BEKASI,70.11,POIN,2022
17,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,73.1,POIN,2022
18,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,65.41,POIN,2022
19,32,JAWA BARAT,3271,KOTA BOGOR,95.34,POIN,2022
20,32,JAWA BARAT,3272,KOTA SUKABUMI,96.85,POIN,2022
21,32,JAWA BARAT,3273,KOTA BANDUNG,95.65,POIN,2022
22,32,JAWA BARAT,3274,KOTA CIREBON,92.62,POIN,2022
23,32,JAWA BARAT,3275,KOTA BEKASI,80.88,POIN,2022
24,32,JAWA BARAT,3276,KOTA DEPOK,98.92,POIN,2022
25,32,JAWA BARAT,3277,KOTA CIMAHI,98.83,POIN,2022
26,32,JAWA BARAT,3278,KOTA TASIKMALAYA,79.68,POIN,2022
27,32,JAWA BARAT,3279,KOTA BANJAR,88.35,POIN,2022
28,32,JAWA BARAT,3201,KABUPATEN BOGOR,38.19,POIN,2023
29,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,55.6,POIN,2023
30,32,JAWA BARAT,3203,KABUPATEN CIANJUR,28.13,POIN,2023
31,32,JAWA BARAT,3204,KABUPATEN BANDUNG,53.7,POIN,2023
32,32,JAWA BARAT,3205,KABUPATEN GARUT,49.21,POIN,2023
33,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,52.48,POIN,2023
34,32,JAWA BARAT,3207,KABUPATEN CIAMIS,62.85,POIN,2023
35,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,53.96,POIN,2023
36,32,JAWA BARAT,3209,KABUPATEN CIREBON,51.54,POIN,2023
37,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,58.47,POIN,2023
38,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,61.26,POIN,2023
39,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,73.78,POIN,2023
40,32,JAWA BARAT,3213,KABUPATEN SUBANG,47.63,POIN,2023
41,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,55.55,POIN,2023
42,32,JAWA BARAT,3215,KABUPATEN KARAWANG,46.12,POIN,2023
43,32,JAWA BARAT,3216,KABUPATEN BEKASI,36.4,POIN,2023
44,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,53.6,POIN,2023
45,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,44.85,POIN,2023
46,32,JAWA BARAT,3271,KOTA BOGOR,52.0,POIN,2023
47,32,JAWA BARAT,3272,KOTA SUKABUMI,82.15,POIN,2023
48,32,JAWA BARAT,3273,KOTA BANDUNG,75.7,POIN,2023
49,32,JAWA BARAT,3274,KOTA CIREBON,87.75,POIN,2023
50,32,JAWA BARAT,3275,KOTA BEKASI,51.79,POIN,2023
51,32,JAWA BARAT,3276,KOTA DEPOK,74.44,POIN,2023
52,32,JAWA BARAT,3277,KOTA CIMAHI,57.78,POIN,2023
53,32,JAWA BARAT,3278,KOTA TASIKMALAYA,76.45,POIN,2023
54,32,JAWA BARAT,3279,KOTA BANJAR,68.56,POIN,2023
55,32,JAWA BARAT,3201,KABUPATEN BOGOR,58.1,POIN,2024
56,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,65.14,POIN,2024
57,32,JAWA BARAT,3203,KABUPATEN CIANJUR,44.59,POIN,2024
58,32,JAWA BARAT,3204,KABUPATEN BANDUNG,60.65,POIN,2024
59,32,JAWA BARAT,3205,KABUPATEN GARUT,56.77,POIN,2024
60,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,69.95,POIN,2024
61,32,JAWA BARAT,3207,KABUPATEN CIAMIS,82.62,POIN,2024
62,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,70.85,POIN,2024
63,32,JAWA BARAT,3209,KABUPATEN CIREBON,57.56,POIN,2024
64,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,69.38,POIN,2024
65,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,64.97,POIN,2024
66,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,84.6,POIN,2024
67,32,JAWA BARAT,3213,KABUPATEN SUBANG,58.29,POIN,2024
68,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,70.98,POIN,2024
69,32,JAWA BARAT,3215,KABUPATEN KARAWANG,63.06,POIN,2024
70,32,JAWA BARAT,3216,KABUPATEN BEKASI,61.4,POIN,2024
71,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,60.3,POIN,2024
72,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,77.16,POIN,2024
73,32,JAWA BARAT,3271,KOTA BOGOR,78.36,POIN,2024
74,32,JAWA BARAT,3272,KOTA SUKABUMI,87.81,POIN,2024
75,32,JAWA BARAT,3273,KOTA BANDUNG,86.82,POIN,2024
76,32,JAWA BARAT,3274,KOTA CIREBON,95.37,POIN,2024
77,32,JAWA BARAT,3275,KOTA BEKASI,59.36,POIN,2024
78,32,JAWA BARAT,3276,KOTA DEPOK,81.57,POIN,2024
79,32,JAWA BARAT,3277,KOTA CIMAHI,75.55,POIN,2024
80,32,JAWA BARAT,3278,KOTA TASIKMALAYA,72.84,POIN,2024
81,32,JAWA BARAT,3279,KOTA BANJAR,79.68,POIN,2024
